X,Y,status,ts
-85.371382,38.39719,Closed,2020-04-01T15:00:00Z
-85.385533,35.019387,Closed,2020-04-01T15:00:00Z
-80.48219,35.6434,Open,2020-04-01T15:00:00Z
-79.10293,36.057786,Closed,2020-04-01T15:00:00Z
-84.227409,33.506177,Closed,2020-04-01T15:00:00Z
-83.46134,34.251825,Open,2020-04-01T15:00:00Z
-83.372149,39.957842,Open,2020-04-01T15:00:00Z
-80.090734,33.000912,Open,2020-04-01T15:00:00Z
-82.691892,30.179667,Closed,2020-04-01T15:00:00Z
-81.23276,32.1105,Open,2020-04-01T15:00:00Z
-78.59837,35.816734,Open,2020-04-01T15:00:00Z
-84.003139,36.047286,Open,2020-04-01T15:00:00Z
-79.05181,34.621484,Closed,2020-04-01T15:00:00Z
-86.78056,33.333944,Open,2020-04-01T15:00:00Z
-82.20422,35.247389,Closed,2020-04-01T15:00:00Z
-78.8157,35.00557,Open,2020-04-01T15:00:00Z
-82.06208,32.377905,Open,2020-04-01T15:00:00Z
-91.00753737,30.43954741,Open,2020-04-01T15:00:00Z
-80.05217,32.93369,Closed,2020-04-01T15:00:00Z
-84.170299,34.003035,Open,2020-04-01T15:00:00Z
-82.122669,30.262603,Open,2020-04-01T15:00:00Z
-82.33408,34.811575,Closed,2020-04-01T15:00:00Z
-83.763011,31.176724,Open,2020-04-01T15:00:00Z
-90.456678,30.477968,Open,2020-04-01T15:00:00Z
-79.307395,34.50489,Closed,2020-04-01T15:00:00Z
-79.866593,34.157428,Open,2020-04-01T15:00:00Z
-86.57733,32.801087,Closed,2020-04-01T15:00:00Z
-86.93834,34.783197,Open,2020-04-01T15:00:00Z
-83.35841535,33.94800385,Open,2020-04-01T15:00:00Z
-84.31927,37.77666,Closed,2020-04-01T15:00:00Z
-80.27906554,36.1884869,Open,2020-04-01T15:00:00Z
-83.55072,34.512431,Closed,2020-04-01T15:00:00Z
-86.616238,33.639227,Closed,2020-04-01T15:00:00Z
-89.09743,30.43832,Open,2020-04-01T15:00:00Z
-89.14739,31.685752,Open,2020-04-01T15:00:00Z
-85.12345234,38.64935283,Closed,2020-04-01T15:00:00Z
-81.076629,34.015241,Open,2020-04-01T15:00:00Z
-83.88405,33.83348,Open,2020-04-01T15:00:00Z
-84.213563,36.298002,Open,2020-04-01T15:00:00Z
-90.49983,30.504208,Closed,2020-04-01T15:00:00Z
-83.968892,36.013218,Open,2020-04-01T15:00:00Z
-83.752416,32.447579,Closed,2020-04-01T15:00:00Z
-84.93833,32.484108,Open,2020-04-01T15:00:00Z
-84.54907,33.91883,Open,2020-04-01T15:00:00Z
-81.19393,32.187662,Open,2020-04-01T15:00:00Z
-83.477125,33.559662,Open,2020-04-01T15:00:00Z
-80.687976,32.928945,Open,2020-04-01T15:00:00Z
-83.3795,33.923055,Closed,2020-04-01T15:00:00Z
-86.657072,34.738659,Open,2020-04-01T15:00:00Z
-84.588922,33.395467,Open,2020-04-01T15:00:00Z
-91.05737726,30.43213324,Open,2020-04-01T15:00:00Z
-81.970888,34.98314,Open,2020-04-01T15:00:00Z
-85.01597,32.497212,Open,2020-04-01T15:00:00Z
-94.1835685,36.17449526,Closed,2020-04-01T15:00:00Z
-84.10712,31.57076,Open,2020-04-01T15:00:00Z
-79.38219,36.061711,Closed,2020-04-01T15:00:00Z
-86.351386,30.377749,Closed,2020-04-01T15:00:00Z
-90.00494,34.962506,Open,2020-04-01T15:00:00Z
-83.12299239,40.00224597,Closed,2020-04-01T15:00:00Z
-84.313663,33.888283,Open,2020-04-01T15:00:00Z
-84.594442,33.865028,Open,2020-04-01T15:00:00Z
-112.239187,33.465058,Open,2020-04-01T15:00:00Z
-87.28780952,36.59492755,Open,2020-04-01T15:00:00Z
-80.85724,35.594201,Open,2020-04-01T15:00:00Z
-86.389859,32.461303,Open,2020-04-01T15:00:00Z
-86.62556121,36.15400811,Open,2020-04-01T15:00:00Z
-81.79928124,26.5469082,Open,2020-04-01T15:00:00Z
-84.0124,34.097511,Closed,2020-04-01T15:00:00Z
-82.06222,33.42203,Open,2020-04-01T15:00:00Z
-84.22567862,40.02601161,Closed,2020-04-01T15:00:00Z
-83.201973,33.549058,Open,2020-04-01T15:00:00Z
-84.631532000000007,38.917408,Closed,2020-04-01T15:00:00Z
-85.35469,32.644407,Open,2020-04-01T15:00:00Z
-80.63252,27.99758,Open,2020-04-01T15:00:00Z
-86.2829,33.603128,Open,2020-04-01T15:00:00Z
-97.47981,32.76085,Closed,2020-04-01T15:00:00Z
-80.36341,36.262615,Closed,2020-04-01T15:00:00Z
-84.527623,34.102593,Open,2020-04-01T15:00:00Z
-85.153527,31.873048,Open,2020-04-01T15:00:00Z
-83.92359,33.03485,Open,2020-04-01T15:00:00Z
-92.82859,34.39329,Open,2020-04-01T15:00:00Z
-82.60015,34.630471,Open,2020-04-01T15:00:00Z
-86.65572332,36.30734927,Closed,2020-04-01T15:00:00Z
-80.27723,34.19628,Open,2020-04-01T15:00:00Z
-93.82040735,30.11393181,Open,2020-04-01T15:00:00Z
-86.519549,33.570904,Open,2020-04-01T15:00:00Z
-89.920604,35.075448,Open,2020-04-01T15:00:00Z
-82.03237,35.02592,Open,2020-04-01T15:00:00Z
-78.53805,35.375693,Closed,2020-04-01T15:00:00Z
-80.97439,32.478705,Open,2020-04-01T15:00:00Z
-84.32075,33.56233,Open,2020-04-01T15:00:00Z
-91.832716,30.313436,Open,2020-04-01T15:00:00Z
-82.25658,34.942544,Open,2020-04-01T15:00:00Z
-81.952064,28.09634,Open,2020-04-01T15:00:00Z
-86.68897951,36.21577351,Closed,2020-04-01T15:00:00Z
-81.739172,33.638365,Closed,2020-04-01T15:00:00Z
-80.69008,37.082212,Open,2020-04-01T15:00:00Z
-90.168405,32.303702,Open,2020-04-01T15:00:00Z
-92.03783042,30.2542478,Open,2020-04-01T15:00:00Z
-97.061237,32.692333,Open,2020-04-01T15:00:00Z
-86.33319,32.326678,Open,2020-04-01T15:00:00Z
-83.05329031,39.87821656,Open,2020-04-01T15:00:00Z
-80.24316,33.703403,Open,2020-04-01T15:00:00Z
-78.93353,35.910143,Closed,2020-04-01T15:00:00Z
-77.32489261,37.26279028,Open,2020-04-01T15:00:00Z
-86.66697264,36.14446975,Open,2020-04-01T15:00:00Z
-84.133187,34.179323,Open,2020-04-01T15:00:00Z
-84.14139,33.95379,Open,2020-04-01T15:00:00Z
-80.8556,34.097093,Open,2020-04-01T15:00:00Z
-87.68195,30.24931,Closed,2020-04-01T15:00:00Z
-86.514925,36.168494,Open,2020-04-01T15:00:00Z
-86.151491,34.199402,Open,2020-04-01T15:00:00Z
-92.14127,37.822226,Closed,2020-04-01T15:00:00Z
-86.86405,30.402206,Open,2020-04-01T15:00:00Z
-84.598503,38.682281,Closed,2020-04-01T15:00:00Z
-84.575973,33.817792,Open,2020-04-01T15:00:00Z
-83.72429,33.99155,Open,2020-04-01T15:00:00Z
-88.81434997,35.56417346,Closed,2020-04-01T15:00:00Z
-78.14762,35.58159,Open,2020-04-01T15:00:00Z
-84.67639,34.0782,Closed,2020-04-01T15:00:00Z
-86.416413,36.931966,Closed,2020-04-01T15:00:00Z
-97.313805,32.544351,Closed,2020-04-01T15:00:00Z
-86.819517,33.652325,Closed,2020-04-01T15:00:00Z
-92.717308,35.170669,Closed,2020-04-01T15:00:00Z
-81.26352,35.704687,Closed,2020-04-01T15:00:00Z
-84.31003,34.066383,Closed,2020-04-01T15:00:00Z
-85.827384,33.615254,Closed,2020-04-01T15:00:00Z
-86.715211,36.35108,Closed,2020-04-01T15:00:00Z
-92.387086,30.236434,Open,2020-04-01T15:00:00Z
-87.760007,30.647833,Open,2020-04-01T15:00:00Z
-81.79618716,26.68454163,Open,2020-04-01T15:00:00Z
-83.73106,32.8324,Open,2020-04-01T15:00:00Z
-82.31568,34.837178,Closed,2020-04-01T15:00:00Z
-94.18569,36.334712,Closed,2020-04-01T15:00:00Z
-81.285267,32.005849,Open,2020-04-01T15:00:00Z
-86.91722394,33.33685902,Open,2020-04-01T15:00:00Z
-79.836375,34.188309,Open,2020-04-01T15:00:00Z
-87.683585,30.375629,Open,2020-04-01T15:00:00Z
-85.70251,38.061507,Open,2020-04-01T15:00:00Z
-84.17322,34.15553,Open,2020-04-01T15:00:00Z
-84.53205,33.56699,Open,2020-04-01T15:00:00Z
-83.79985,34.2824,Open,2020-04-01T15:00:00Z
-84.88872,32.522608,Open,2020-04-01T15:00:00Z
-84.3149,30.48613,Open,2020-04-01T15:00:00Z
